neighborhood,city,current_price,baseline_cagr,recovery_cagr,peak_price_2022,distance_from_peak,median_nightly_rate,median_monthly_str_income,median_bedrooms,occupancy_rate,listing_count,monthly_mortgage,monthly_property_tax,monthly_insurance,monthly_maintenance,monthly_base_costs,str_utilities,str_cleaning,str_supplies,str_platform_fees,str_additional_costs,str_total_costs,str_monthly_cash_flow,str_annual_cash_flow,str_cash_on_cash_return,estimated_ltr_rent,ltr_effective_rent,ltr_monthly_cash_flow,ltr_annual_cash_flow,ltr_cash_on_cash_return,str_total_invested,str_cumulative_cash_flow,str_appreciation_gain,str_principal_paydown,str_total_return,str_roi_pct,str_annualized_roi,ltr_total_invested,ltr_cumulative_cash_flow,ltr_appreciation_gain,ltr_principal_paydown,ltr_total_return,ltr_roi_pct,ltr_annualized_roi,metro,metro_display,state,has_str_data
North Austin,Austin,353118.5570580682,5.6886196761402275,-6.652396285553753,476129.00016661506,-25.835528410472996,0.0,0.0,0.0,0.0,0,1879.4452568384422,647.3840212731251,147.13273210752843,294.26546421505685,2968.2274744341526,200,300,75,0.0,575.0,3543.2274744341526,-3543.2274744341526,-42518.72969320983,-60.20460953319125,2295.2706208774434,2111.648971207248,-856.5785032269046,-10278.942038722855,-14.554519768600752,81217.2681233557,-212593.64846604917,66275.51742958388,16577.95617313165,-129740.17486333364,-159.7445689336406,-100.0,81217.2681233557,-55674.06565726699,66275.51742958388,16577.95617313165,27179.40794544854,33.4650605388099,5.943305128393472,austin,"Austin, TX",TX,True
West Oak Hill,Austin,588798.4841278209,4.511525632963109,-4.026541343627754,743474.486438641,-20.804480198337703,122.0,1724.054794520548,1.0,21.86234817813765,45,3133.832805183676,1079.4638875676717,245.33270171992538,490.66540343985076,4949.294797911124,200,300,75,51.72164383561644,626.7216438356164,5576.01644174674,-3851.9616472261923,-46223.53976671431,-39.252427624015205,3532.790904766926,3250.167632385572,-1699.1271655255523,-20389.525986306628,-17.314519768600753,135423.65134939883,-231117.69883357157,110509.4122564306,27642.487967779627,-92965.79860936134,-68.64812585026642,-20.703740531933967,135423.65134939883,-110436.24958733884,110509.4122564306,27642.487967779627,27715.65063687139,20.465886394809885,3.7941355214250905,austin,"Austin, TX",TX,True
Jollyville,Austin,434343.20640301326,4.63733440378451,-4.527924706691233,559345.3566664796,-22.347937418921184,0.0,0.0,0.0,0.0,0,2311.7569518724113,796.2958784055244,180.97633600125553,361.95267200251106,3650.9818382817025,200,300,75,0.0,575.0,4225.981838281703,-4225.981838281703,-50711.782059380435,-58.377547192860405,2823.230841619586,2597.3723742900193,-1053.6094639916832,-12643.313567900199,-14.554519768600766,99898.93747269307,-253558.91029690218,81520.27179259947,20391.232621236995,-151647.40588306572,-151.80081962785425,-100.0,99898.93747269307,-68480.26451097195,81520.27179259947,20391.232621236995,33431.239902864516,33.46506053880983,5.94330512839345,austin,"Austin, TX",TX,True
Windsor Park,Austin,437638.2988531631,5.939899264708015,-7.705388337018048,619941.6756814764,-29.40653677265925,114.0,1023.5547826086956,2.0,29.596412556053814,123,2329.294817703857,802.336881230799,182.34929118881794,364.6985823776359,3678.6795725011098,200,300,75,30.70664347826087,605.7066434782608,4284.386215979371,-3260.831433370675,-39129.9772004481,-44.70584190527739,2844.6489425455597,2617.077027141915,-1061.6025453591947,-12739.230544310336,-14.554519768600754,100656.80873622753,-195649.8860022405,82138.71552133298,20545.92825286876,-92965.24222803875,-92.35862272531944,-40.20920493151095,100656.80873622753,-68999.78179418916,82138.71552133298,20545.92825286876,33684.86198001259,33.46506053880985,5.94330512839345,austin,"Austin, TX",TX,True
East Oak Hill,Austin,668578.37750023,4.834309620240718,-3.3720704712215,829933.6389451335,-19.4419473887081,0.0,0.0,0.0,0.0,0,3558.454902190019,1225.7270254170883,278.57432395842915,557.1486479168583,5619.904899482394,200,300,75,0.0,575.0,6194.904899482394,-6194.904899482394,-74338.85879378874,-55.594722545273434,4011.47026500138,3690.55264380127,-1929.3522556811245,-23152.227068173495,-17.31451976860075,153773.0268250529,-371694.29396894365,125483.00570839958,31387.937051067012,-214823.35120947706,-139.70158202965007,-100.0,153773.0268250529,-125399.92978359078,125483.00570839958,31387.937051067012,31471.012975875812,20.465886394809857,3.7941355214250905,austin,"Austin, TX",TX,True
West University,Austin,306793.1846614753,3.089056153233982,-2.7447686023563844,359404.5541500377,-14.638481588800111,0.0,0.0,0.0,0.0,0,1632.8821700739775,562.4541718793713,127.83049360894803,255.66098721789606,2578.827822780193,200,300,75,0.0,575.0,3153.827822780193,-3153.827822780193,-37845.933873362315,-61.67988039747792,1994.1557002995894,1834.6232442756223,-744.2045785045707,-8930.454942054848,-14.554519768600754,70562.43247213932,-189229.66936681158,57580.879426751635,14403.105891421787,-117245.68404863816,-166.1587900827131,-100.0,70562.43247213932,-48370.22457371517,57580.879426751635,14403.105891421787,23613.760744458254,33.465060538809865,5.94330512839345,austin,"Austin, TX",TX,True
Pleasant Valley,Austin,246843.23306209015,4.1696167876894785,-10.360502048013265,373503.5240665224,-33.911404536540225,136.0,278.72359550561794,2.0,6.741573033707865,7,1313.80335099444,452.5459272804986,102.85134710920424,205.70269421840848,2074.903319602551,200,300,75,8.361707865168539,583.3617078651686,2658.26502746772,-2379.541431962102,-28554.497183545223,-57.83933557611992,1974.7458644967212,1816.7661953369836,-258.13712426556754,-3097.6454911868104,-6.274519768600744,56773.943604280736,-142772.48591772612,46329.09448735413,11588.618659496045,-84854.77277087595,-149.46076912028695,-100.0,56773.943604280736,-16777.847156797405,46329.09448735413,11588.618659496045,41139.86599005277,72.46258297080995,11.516460668310202,austin,"Austin, TX",TX,True
Franklin Park,Austin,269293.30468222464,6.120233559599386,-9.408368213333706,404496.35482256464,-33.42503548632665,128.5,975.2242480440452,2.5,27.894736842105264,10,1433.2920603210548,493.70439191741184,112.2055436175936,224.4110872351872,2263.6130830912475,200,300,75,29.256727441321356,604.2567274413213,2867.869810532569,-1892.6455624885236,-22711.746749862283,-42.16916342696103,2154.346437457797,1981.9987224611734,-281.6143606300741,-3379.372327560889,-6.2745197686007534,61937.46007691167,-113558.73374931142,50542.66549124493,12642.58848340722,-50373.47977465927,-81.32958586307434,-28.512387950426444,61937.46007691167,-18303.770576407755,50542.66549124493,12642.58848340722,44881.483398244396,72.46258297080993,11.516460668310202,austin,"Austin, TX",TX,True
Downtown,Austin,632269.7635215743,3.22006529993204,-6.5580255530084175,825130.1444819219,-23.37332871064112,170.5,2201.8481927710845,2.0,47.79720076659504,92,3365.2052103780397,1159.1612331228862,263.445734800656,526.891469601312,5314.703647902894,200,300,75,66.05544578313254,641.0554457831325,5955.759093686026,-3753.9109009149415,-45046.9308109793,-35.623189190702305,3793.618581129446,3490.1290946390905,-1824.5745532638034,-21894.894639165643,-17.31451976860075,145422.0456099621,-225234.6540548965,118668.37608758721,29683.346342892153,-76882.93162441714,-52.86882831412343,-13.967677466022677,145422.0456099621,-118589.81178293594,118668.37608758721,29683.346342892153,29761.910647543424,20.46588639480986,3.7941355214250905,austin,"Austin, TX",TX,True
Riverside,Austin,440361.90299750265,6.513220110967866,-7.274133457291832,600154.3774630148,-26.62522851886714,0.0,0.0,0.0,0.0,0,2343.790982768733,807.3301554954214,183.48412624895946,366.9682524979189,3701.573517011033,200,300,75,0.0,575.0,4276.573517011033,-4276.573517011033,-51318.882204132395,-58.2689849585188,2862.3523694837672,2633.364179925066,-1068.209337085967,-12818.512045031604,-14.554519768600757,101283.23768942562,-256594.41102066197,82649.89872122859,20673.794062340807,-153270.71823709257,-151.32880991332553,-100.0,101283.23768942562,-69429.19597513642,82649.89872122859,20673.794062340807,33894.496808432974,33.465060538809865,5.94330512839345,austin,"Austin, TX",TX,True
